time,G(i),H_sun,T2m,WS10m,Int
20100626:1010,816.15,57.52,24.93,1.1,0.0
20100626:1110,951.29,63.23,25.75,1.1,0.0
20100626:1210,1018.12,64.35,26.43,1.17,0.0
20100626:1310,881.87,60.35,26.96,1.31,0.0
20100626:1410,789.4,52.91,27.13,1.38,0.0
20100626:1510,578.97,43.82,27.27,1.52,0.0
20100626:1610,328.73,34.07,26.93,1.79,0.0
20100626:1710,179.42,24.21,26.5,2.21,0.0
20100626:1810,173.48,14.62,25.92,2.21,0.0
20100626:1910,37.03,5.62,24.79,2.41,0.0
20100626:2010,0.0,0.0,23.03,2.69,0.0
20100626:2110,0.0,0.0,21.65,2.69,0.0
20100626:2210,0.0,0.0,20.64,2.62,0.0
20100626:2310,0.0,0.0,19.78,2.41,0.0
20100627:0010,0.0,0.0,19.07,2.21,0.0
20100627:0110,0.0,0.0,18.31,2.0,0.0
20100627:0210,0.0,0.0,17.61,1.86,0.0
20100627:0310,0.0,0.0,16.63,1.79,0.0
20100627:0410,0.0,0.0,16.09,1.66,0.0
20100627:0510,65.16,10.69,16.23,1.24,0.0
20100627:0610,100.46,20.07,19.07,0.83,0.0
20100627:0710,227.05,29.85,21.07,0.76,0.0
20100627:0810,431.39,39.7,22.73,0.69,0.0
20100627:0910,638.27,49.16,25.07,0.83,0.0
20100627:1010,738.55,57.47,26.96,1.24,0.0
20100627:1110,825.51,63.18,27.39,1.66,0.0
20100627:1210,771.08,64.32,27.9,1.66,0.0
20100627:1310,729.18,60.34,28.05,1.52,0.0
20100627:1410,569.98,52.91,28.27,1.52,0.0
20100627:1510,733.95,43.83,28.12,1.86,0.0
20100627:1610,318.21,34.08,28.02,2.14,0.0
20100627:1710,245.85,24.22,27.48,2.41,0.0
20100627:1810,204.28,14.63,26.85,2.41,0.0
20100627:1910,29.7,5.62,25.58,2.76,0.0
20100627:2010,0.0,0.0,24.09,2.9,0.0
20100627:2110,0.0,0.0,23.0,2.69,0.0
20100627:2210,0.0,0.0,22.09,2.48,0.0
20100627:2310,0.0,0.0,21.31,2.21,0.0
20100628:0010,0.0,0.0,20.5,2.07,0.0
20100628:0110,0.0,0.0,19.99,2.0,0.0
20100628:0210,0.0,0.0,19.54,2.07,0.0
20100628:0310,0.0,0.0,19.13,2.34,0.0
20100628:0410,0.0,0.0,18.32,2.55,0.0
20100628:0510,10.86,10.63,18.33,2.48,0.0
20100628:0610,134.85,20.01,19.19,2.41,0.0
20100628:0710,233.6,29.79,20.06,2.28,0.0
20100628:0810,428.57,39.64,21.55,2.48,0.0
20100628:0910,634.81,49.1,22.98,2.48,0.0
20100628:1010,806.48,57.4,24.38,2.83,0.0
20100628:1110,950.39,63.12,24.85,3.24,0.0
20100628:1210,1011.41,64.28,25.65,3.31,0.0
20100628:1310,953.68,60.32,25.31,3.1,0.0
20100628:1410,718.86,52.91,25.76,2.69,0.0
20100628:1510,573.33,43.83,26.31,2.48,0.0
20100628:1610,161.25,34.08,26.19,2.28,0.0
20100628:1710,30.27,24.22,25.92,2.07,0.0
20100628:1810,55.81,14.63,25.36,1.79,0.0
20100628:1910,38.77,5.61,24.62,2.69,0.0
20100628:2010,0.0,0.0,23.29,2.62,0.0
20100628:2110,0.0,0.0,22.33,2.55,0.0
20100628:2210,0.0,0.0,21.77,2.55,0.0
20100628:2310,0.0,0.0,21.16,2.83,0.0
20100629:0010,0.0,0.0,20.17,3.24,0.0
20100629:0110,0.0,0.0,19.41,3.38,0.0
20100629:0210,0.0,0.0,18.44,3.1,0.0
20100629:0310,0.0,0.0,17.71,2.76,0.0
20100629:0410,0.0,0.0,17.24,2.55,0.0
20100629:0510,24.44,10.56,17.26,2.41,0.0
20100629:0610,28.06,19.94,17.89,2.69,0.0
20100629:0710,120.14,29.72,18.04,2.83,0.0
20100629:0810,310.92,39.57,19.03,2.41,0.0
20100629:0910,626.47,49.03,20.14,1.86,0.0
20100629:1010,809.88,57.34,21.51,1.72,0.0
20100629:1110,913.89,63.06,23.73,2.07,0.0
20100629:1210,1029.24,64.24,25.03,2.55,0.0
20100629:1310,1035.05,60.29,26.1,2.9,0.0
20100629:1410,978.38,52.9,26.65,2.9,0.0
20100629:1510,853.12,43.82,26.86,2.97,0.0
20100629:1610,673.95,34.08,26.82,3.1,0.0
20100629:1710,461.46,24.22,26.41,3.17,0.0
20100629:1810,223.43,14.62,25.65,2.69,0.0
20100629:1910,43.4,5.6,24.19,2.48,0.0
20100629:2010,0.0,0.0,22.32,2.76,0.0
20100629:2110,0.0,0.0,20.89,2.62,0.0
20100629:2210,0.0,0.0,19.7,2.41,0.0
20100629:2310,0.0,0.0,18.68,2.28,0.0
20100630:0010,0.0,0.0,17.71,2.21,0.0
20100630:0110,0.0,0.0,16.77,2.07,0.0
20100630:0210,0.0,0.0,15.77,1.79,0.0
20100630:0310,0.0,0.0,15.02,1.31,0.0
20100630:0410,0.0,0.0,15.95,0.76,0.0
20100630:0510,57.02,10.49,16.22,0.41,0.0
20100630:0610,83.27,19.87,17.38,0.34,0.0
20100630:0710,222.14,29.65,19.81,0.34,0.0
20100630:0810,431.48,39.5,21.4,0.41,0.0
20100630:0910,638.83,48.96,22.83,0.41,0.0
20100630:1010,809.02,57.27,24.3,0.48,0.0
20100630:1110,954.84,63.0,25.64,0.69,0.0
20100630:1210,1028.43,64.19,26.74,0.97,0.0
20100630:1310,1035.43,60.26,27.56,1.1,0.0
20100630:1410,978.75,52.88,28.05,1.17,0.0
20100630:1510,847.78,43.81,28.42,1.24,0.0
20100630:1610,622.6,34.07,28.5,1.31,0.0
20100630:1710,451.9,24.21,28.5,1.45,0.0
20100630:1810,233.76,14.61,28.03,1.31,0.0
20100630:1910,47.81,5.59,26.47,2.07,0.0
20100630:2010,0.0,0.0,25.14,2.34,0.0
20100630:2110,0.0,0.0,24.2,1.93,0.0
20100630:2210,0.0,0.0,22.66,1.79,0.0
20100630:2310,0.0,0.0,20.92,1.72,0.0
20100701:0010,0.0,0.0,19.48,1.66,0.0
20100701:0110,0.0,0.0,18.53,1.59,0.0
20100701:0210,0.0,0.0,17.64,1.59,0.0
20100701:0310,0.0,0.0,16.82,1.93,0.0
20100701:0410,0.0,0.0,16.63,2.21,0.0
20100701:0510,58.83,10.41,17.17,2.07,0.0
20100701:0610,93.22,19.79,20.0,1.79,0.0
20100701:0710,237.6,29.58,22.88,2.21,0.0
20100701:0810,397.81,39.42,25.04,2.55,0.0
20100701:0910,598.06,48.88,27.01,2.76,0.0
20100701:1010,751.1,57.19,28.58,3.24,0.0
20100701:1110,833.54,62.93,29.21,3.45,0.0
20100701:1210,973.42,64.13,29.74,3.45,0.0
20100701:1310,970.97,60.23,30.3,3.45,0.0
20100701:1410,922.52,52.86,30.66,3.45,0.0
20100701:1510,808.62,43.8,31.13,3.59,0.0
20100701:1610,642.5,34.06,31.09,3.66,0.0
20100701:1710,168.07,24.2,30.69,3.38,0.0
20100701:1810,94.35,14.59,30.04,2.69,0.0
20100701:1910,4.73,5.57,28.39,2.69,0.0
20100701:2010,0.0,0.0,27.02,2.83,0.0
20100701:2110,0.0,0.0,25.92,2.9,0.0
20100701:2210,0.0,0.0,25.08,2.76,0.0
20100701:2310,0.0,0.0,24.22,2.69,0.0
20100702:0010,0.0,0.0,23.39,2.62,0.0
20100702:0110,0.0,0.0,22.66,2.55,0.0
20100702:0210,0.0,0.0,22.09,2.55,0.0
20100702:0310,0.0,0.0,21.5,2.62,0.0
20100702:0410,0.0,0.0,21.0,2.62,0.0
20100702:0510,57.02,10.33,20.97,2.41,0.0
20100702:0610,92.32,19.71,22.39,2.07,0.0
20100702:0710,219.55,29.5,24.81,1.93,0.0
20100702:0810,418.37,39.34,27.05,2.0,0.0
20100702:0910,629.44,48.8,29.2,2.41,0.0
20100702:1010,809.29,57.11,30.99,3.45,0.0
20100702:1110,746.48,62.85,32.04,3.59,0.0
20100702:1210,795.75,64.07,32.58,3.66,0.0
20100702:1310,822.33,60.18,32.54,3.59,0.0
20100702:1410,331.21,52.83,31.5,4.62,0.0
20100702:1510,374.71,43.78,29.63,3.79,0.0
20100702:1610,433.0,34.04,29.83,2.21,0.0
20100702:1710,272.02,24.18,29.96,2.0,0.0
20100702:1810,100.01,14.57,29.43,2.0,0.0
20100702:1910,30.74,5.54,27.6,1.03,0.0
20100702:2010,0.0,0.0,26.42,1.1,0.0
20100702:2110,0.0,0.0,24.75,1.31,0.0
20100702:2210,0.0,0.0,23.56,1.59,0.0
20100702:2310,0.0,0.0,22.7,1.52,0.0
20100703:0010,0.0,0.0,21.82,1.59,0.0
20100703:0110,0.0,0.0,21.26,1.66,0.0
20100703:0210,0.0,0.0,21.09,1.72,0.0
20100703:0310,0.0,0.0,20.82,1.93,0.0
20100703:0410,0.0,0.0,20.27,2.41,0.0
20100703:0510,42.54,10.24,19.62,2.9,0.0
20100703:0610,61.54,19.63,19.69,2.28,0.0
20100703:0710,43.52,29.41,19.05,2.9,0.0
20100703:0810,66.22,39.26,18.89,2.55,0.0
20100703:0910,93.65,48.72,18.61,2.48,0.0
20100703:1010,201.49,57.02,19.38,3.17,0.0
20100703:1110,571.98,62.76,20.83,3.45,0.0
20100703:1210,646.1,64.0,22.45,3.24,0.0
20100703:1310,515.73,60.13,23.29,3.24,0.0
20100703:1410,331.23,52.8,24.11,3.38,0.0
20100703:1510,251.36,43.75,24.2,3.38,0.0
20100703:1610,350.98,34.02,24.1,3.86,0.0
20100703:1710,57.7,24.16,23.55,3.93,0.0
20100703:1810,33.11,14.55,22.85,3.52,0.0
20100703:1910,5.68,5.51,21.19,2.97,0.0
20100703:2010,0.0,0.0,20.57,3.38,0.0
20100703:2110,0.0,0.0,19.98,3.31,0.0
20100703:2210,0.0,0.0,19.47,3.24,0.0
20100703:2310,0.0,0.0,19.07,3.1,0.0
20100704:0010,0.0,0.0,18.65,2.97,0.0
20100704:0110,0.0,0.0,18.16,2.76,0.0
20100704:0210,0.0,0.0,17.67,2.48,0.0
20100704:0310,0.0,0.0,17.2,2.48,0.0
20100704:0410,0.0,0.0,16.57,2.28,0.0
20100704:0510,49.78,10.15,15.89,1.93,0.0
20100704:0610,74.22,19.54,16.12,1.93,0.0
20100704:0710,215.84,29.33,16.82,1.93,0.0
20100704:0810,424.13,39.17,18.44,1.86,0.0
20100704:0910,625.41,48.63,19.95,1.86,0.0
20100704:1010,807.88,56.93,21.31,1.86,0.0
20100704:1110,940.59,62.67,22.53,1.93,0.0
20100704:1210,1026.06,63.92,23.45,2.07,0.0
20100704:1310,1027.15,60.07,24.23,2.21,0.0
20100704:1410,954.56,52.76,24.77,2.41,0.0
20100704:1510,843.0,43.72,25.05,2.48,0.0
20100704:1610,666.19,33.99,25.07,2.48,0.0
20100704:1710,452.79,24.13,24.9,2.14,0.0
20100704:1810,238.73,14.51,24.54,1.59,0.0
20100704:1910,46.93,5.47,23.24,0.83,0.0
20100704:2010,0.0,0.0,22.21,0.83,0.0
20100704:2110,0.0,0.0,21.25,0.83,0.0
20100704:2210,0.0,0.0,18.7,2.0,0.0
20100704:2310,0.0,0.0,18.07,2.97,0.0
20100705:0010,0.0,0.0,17.32,2.9,0.0
20100705:0110,0.0,0.0,16.64,2.41,0.0
20100705:0210,0.0,0.0,16.28,1.79,0.0
20100705:0310,0.0,0.0,15.59,1.38,0.0
20100705:0410,0.0,0.0,14.89,1.1,0.0
20100705:0510,51.59,10.06,15.01,1.03,0.0
20100705:0610,89.6,19.45,17.22,1.17,0.0
20100705:0710,216.35,29.23,17.82,1.17,0.0
20100705:0810,333.55,39.08,18.44,1.45,0.0
20100705:0910,266.2,48.53,19.08,1.66,0.0
20100705:1010,456.55,56.83,20.06,2.07,0.0
20100705:1110,390.72,62.57,20.96,2.83,0.0
20100705:1210,694.93,63.83,21.46,3.31,0.0
20100705:1310,815.23,60.01,20.78,3.86,0.0
20100705:1410,694.5,52.71,20.21,4.28,0.0
20100705:1510,803.81,43.68,19.92,4.07,0.0
20100705:1610,403.33,33.96,19.6,3.72,0.0
20100705:1710,397.2,24.09,19.8,3.72,0.0
20100705:1810,226.35,14.47,19.78,3.66,0.0
20100705:1910,44.73,5.42,19.75,3.66,0.0
20100705:2010,0.0,0.0,18.3,3.31,0.0
20100705:2110,0.0,0.0,17.0,3.1,0.0
20100705:2210,0.0,0.0,15.94,2.9,0.0
20100705:2310,0.0,0.0,15.02,2.62,0.0
20100706:0010,0.0,0.0,14.19,2.48,0.0
20100706:0110,0.0,0.0,13.52,2.41,0.0
20100706:0210,0.0,0.0,13.1,2.34,0.0
20100706:0310,0.0,0.0,12.71,2.34,0.0
20100706:0410,0.0,0.0,12.27,2.28,0.0
20100706:0510,60.64,9.96,12.4,1.86,0.0
20100706:0610,123.99,19.35,13.98,1.79,0.0
20100706:0710,227.78,29.14,15.65,1.59,0.0
20100706:0810,403.58,38.98,17.32,1.38,0.0
20100706:0910,580.83,48.43,18.82,1.03,0.0
20100706:1010,698.99,56.73,20.31,0.83,0.0
20100706:1110,777.01,62.47,21.63,0.9,0.0
20100706:1210,793.83,63.74,22.28,1.24,0.0
20100706:1310,709.58,59.94,22.62,1.24,0.0
20100706:1410,707.35,52.66,23.34,1.31,0.0
20100706:1510,719.45,43.64,23.59,1.72,0.0
20100706:1610,593.21,33.92,23.59,2.0,0.0
20100706:1710,439.65,24.05,23.44,2.0,0.0
20100706:1810,231.96,14.43,23.01,1.86,0.0
20100706:1910,36.78,5.37,22.0,1.86,0.0
20100706:2010,0.0,0.0,20.13,2.41,0.0
20100706:2110,0.0,0.0,18.69,2.62,0.0
20100706:2210,0.0,0.0,17.74,2.55,0.0
20100706:2310,0.0,0.0,17.0,2.34,0.0
20100707:0010,0.0,0.0,16.36,2.21,0.0
20100707:0110,0.0,0.0,15.72,2.07,0.0
20100707:0210,0.0,0.0,15.0,1.93,0.0
20100707:0310,0.0,0.0,14.19,1.86,0.0
20100707:0410,0.0,0.0,13.5,1.79,0.0
20100707:0510,49.78,9.86,13.62,1.66,0.0
20100707:0610,78.74,19.25,16.55,1.45,0.0
20100707:0710,211.93,29.04,18.63,1.45,0.0
20100707:0810,419.1,38.88,20.8,1.45,0.0
20100707:0910,625.05,48.33,22.69,1.1,0.0
20100707:1010,810.47,56.62,24.02,0.76,0.0
20100707:1110,933.83,62.36,24.96,0.83,0.0
20100707:1210,1018.89,63.64,25.78,1.1,0.0
20100707:1310,1027.08,59.86,26.43,1.1,0.0
20100707:1410,954.65,52.6,26.95,1.03,0.0
20100707:1510,837.17,43.59,27.29,1.03,0.0
20100707:1610,662.71,33.87,27.4,1.17,0.0
20100707:1710,449.37,24.01,27.28,1.24,0.0
20100707:1810,231.58,14.38,26.87,0.97,0.0
20100707:1910,44.27,5.32,25.25,0.97,0.0
20100707:2010,0.0,0.0,23.51,1.17,0.0
20100707:2110,0.0,0.0,20.82,1.79,0.0
20100707:2210,0.0,0.0,19.36,2.21,0.0
20100707:2310,0.0,0.0,18.27,2.28,0.0
20100708:0010,0.0,0.0,17.46,2.28,0.0
20100708:0110,0.0,0.0,16.72,2.14,0.0
20100708:0210,0.0,0.0,16.0,2.07,0.0
20100708:0310,0.0,0.0,15.31,1.93,0.0
20100708:0410,0.0,0.0,14.94,1.72,0.0
20100708:0510,52.49,9.75,15.24,1.45,0.0
20100708:0610,83.27,19.15,18.27,0.97,0.0
20100708:0710,210.73,28.94,21.69,1.24,0.0
20100708:0810,417.8,38.78,24.12,1.17,0.0
20100708:0910,621.01,48.22,26.35,1.31,0.0
20100708:1010,808.99,56.51,27.89,1.52,0.0
20100708:1110,933.41,62.24,28.9,1.66,0.0
20100708:1210,1013.78,63.54,29.7,1.66,0.0
20100708:1310,1026.79,59.78,30.39,1.72,0.0
20100708:1410,954.36,52.53,30.94,1.79,0.0
20100708:1510,838.07,43.54,31.25,1.66,0.0
20100708:1610,662.39,33.82,31.31,1.66,0.0
20100708:1710,443.34,23.96,31.16,1.72,0.0
20100708:1810,220.86,14.33,30.28,1.31,0.0
20100708:1910,41.12,5.25,28.54,2.0,0.0
20100708:2010,0.0,0.0,26.46,2.41,0.0
20100708:2110,0.0,0.0,24.76,2.55,0.0
20100708:2210,0.0,0.0,23.49,2.34,0.0
20100708:2310,0.0,0.0,22.66,2.21,0.0
20100709:0010,0.0,0.0,22.09,2.48,0.0
20100709:0110,0.0,0.0,21.88,2.55,0.0
20100709:0210,0.0,0.0,21.62,2.69,0.0
20100709:0310,0.0,0.0,21.39,2.62,0.0
20100709:0410,0.0,0.0,21.06,2.55,0.0
20100709:0510,9.05,9.64,20.96,2.28,0.0
20100709:0610,47.06,19.04,21.81,1.86,0.0
20100709:0710,45.41,28.83,23.29,1.24,0.0
20100709:0810,353.9,38.67,25.18,2.21,0.0
20100709:0910,128.65,48.11,26.3,2.62,0.0
20100709:1010,428.37,56.39,26.6,3.03,0.0
20100709:1110,753.96,62.12,27.04,3.1,0.0
20100709:1210,1013.5,63.43,28.78,2.69,0.0
20100709:1310,1014.77,59.69,29.96,2.28,0.0
20100709:1410,777.82,52.46,30.48,2.14,0.0
20100709:1510,603.72,43.48,30.62,1.66,0.0
20100709:1610,629.02,33.76,30.44,1.24,0.0
20100709:1710,425.74,23.9,28.48,2.41,0.0
20100709:1810,213.62,14.26,27.03,2.76,0.0
20100709:1910,30.02,5.19,28.59,1.38,0.0
20100709:2010,0.0,0.0,26.85,1.79,0.0
20100709:2110,0.0,0.0,25.41,1.59,0.0
20100709:2210,0.0,0.0,24.29,1.38,0.0
20100709:2310,0.0,0.0,23.3,2.83,0.0
20100710:0010,0.0,0.0,22.07,3.45,0.0
20100710:0110,0.0,0.0,20.84,3.24,0.0
20100710:0210,0.0,0.0,19.82,3.31,0.0
20100710:0310,0.0,0.0,18.92,3.59,0.0
20100710:0410,0.0,0.0,18.37,3.31,0.0
20100710:0510,57.02,9.53,18.26,3.24,0.0
20100710:0610,107.7,18.93,19.18,3.31,0.0
20100710:0710,217.85,28.72,20.49,3.03,0.0
20100710:0810,411.4,38.56,22.09,2.55,0.0
20100710:0910,609.02,48.0,23.6,2.41,0.0
20100710:1010,301.06,56.27,24.96,2.34,0.0
20100710:1110,338.19,62.0,26.52,2.14,0.0
20100710:1210,164.6,63.31,27.83,1.93,0.0
20100710:1310,113.52,59.59,28.63,1.72,0.0
20100710:1410,205.28,52.38,28.84,1.45,0.0
20100710:1510,525.35,43.41,29.32,1.1,0.0
20100710:1610,349.0,33.7,29.45,1.1,0.0
20100710:1710,152.1,23.84,29.52,1.31,0.0
20100710:1810,219.58,14.2,28.8,1.17,0.0
20100710:1910,39.69,5.11,25.88,1.17,0.0
20100710:2010,0.0,0.0,25.2,1.59,0.0
20100710:2110,0.0,0.0,24.45,1.79,0.0
20100710:2210,0.0,0.0,23.88,1.93,0.0
20100710:2310,0.0,0.0,23.4,2.07,0.0
20100711:0010,0.0,0.0,22.75,2.21,0.0
20100711:0110,0.0,0.0,22.23,2.34,0.0
20100711:0210,0.0,0.0,21.75,2.48,0.0
20100711:0310,0.0,0.0,21.22,2.55,0.0
20100711:0410,0.0,0.0,20.57,2.41,0.0
20100711:0510,49.78,9.41,20.36,2.21,0.0
20100711:0610,79.65,18.81,21.33,2.34,0.0
20100711:0710,208.5,28.61,22.38,2.83,0.0
20100711:0810,415.65,38.45,23.79,2.83,0.0
20100711:0910,618.58,47.88,25.22,2.97,0.0
20100711:1010,648.16,56.14,26.5,3.17,0.0
20100711:1110,927.22,61.86,27.68,3.38,0.0
20100711:1210,983.02,63.18,28.59,3.59,0.0
20100711:1310,754.16,59.49,29.21,3.59,0.0
20100711:1410,854.99,52.3,29.64,3.59,0.0
20100711:1510,831.72,43.34,29.84,3.24,0.0
20100711:1610,512.43,33.63,29.65,2.97,0.0
20100711:1710,380.42,23.77,29.2,2.97,0.0
20100711:1810,220.73,14.13,28.58,2.28,0.0
20100711:1910,39.85,5.03,27.36,1.66,0.0
20100711:2010,0.0,0.0,25.44,1.17,0.0
20100711:2110,0.0,0.0,25.47,0.55,0.0
20100711:2210,0.0,0.0,23.21,1.1,0.0
20100711:2310,0.0,0.0,22.52,1.1,0.0
20100712:0010,0.0,0.0,21.68,1.79,0.0
20100712:0110,0.0,0.0,21.54,2.07,0.0
20100712:0210,0.0,0.0,21.35,1.45,0.0
20100712:0310,0.0,0.0,20.7,1.17,0.0
20100712:0410,0.0,0.0,20.66,1.79,0.0
20100712:0510,10.86,9.29,19.88,3.03,0.0
20100712:0610,21.72,18.69,19.63,2.55,0.0
20100712:0710,63.38,28.49,19.73,1.86,0.0
20100712:0810,248.56,38.33,20.71,2.07,0.0
20100712:0910,226.92,47.76,21.93,3.03,0.0
20100712:1010,118.25,56.01,21.05,3.59,0.0
20100712:1110,278.27,61.73,20.93,3.24,0.0
20100712:1210,446.28,63.05,21.73,3.66,0.0
20100712:1310,582.02,59.38,21.81,3.1,0.0
20100712:1410,582.04,52.21,23.48,3.38,0.0
20100712:1510,717.98,43.26,25.25,4.21,0.0
20100712:1610,573.18,33.56,26.13,4.34,0.0
20100712:1710,448.05,23.7,25.55,3.52,0.0
20100712:1810,236.31,14.05,24.57,2.97,0.0
20100712:1910,42.75,4.95,23.71,2.0,0.0
20100712:2010,0.0,0.0,22.67,2.07,0.0
20100712:2110,0.0,0.0,21.82,1.93,0.0
20100712:2210,0.0,0.0,21.05,1.79,0.0
20100712:2310,0.0,0.0,20.44,1.86,0.0
20100713:0010,0.0,0.0,19.81,2.07,0.0
20100713:0110,0.0,0.0,19.5,2.21,0.0
20100713:0210,0.0,0.0,19.28,2.48,0.0
20100713:0310,0.0,0.0,18.79,2.55,0.0
20100713:0410,0.0,0.0,18.11,2.55,0.0
20100713:0510,54.3,9.16,17.81,2.28,0.0
20100713:0610,122.18,18.57,18.7,2.55,0.0
20100713:0710,225.11,28.37,19.81,3.52,0.0
20100713:0810,386.03,38.21,21.14,3.93,0.0
20100713:0910,526.08,47.63,22.02,4.34,0.0
20100713:1010,625.11,55.88,22.96,4.69,0.0
20100713:1110,768.11,61.58,23.9,5.17,0.0
20100713:1210,970.41,62.91,25.2,5.59,0.0
20100713:1310,938.96,59.26,25.59,5.59,0.0
20100713:1410,667.93,52.11,26.2,5.66,0.0
20100713:1510,546.19,43.18,26.66,5.79,0.0
20100713:1610,488.96,33.48,26.54,5.38,0.0
20100713:1710,431.47,23.62,26.53,5.1,0.0
20100713:1810,235.97,13.96,25.79,3.93,0.0
20100713:1910,43.07,4.85,24.53,3.72,0.0
20100713:2010,0.0,0.0,23.67,3.52,0.0
20100713:2110,0.0,0.0,22.71,3.38,0.0
20100713:2210,0.0,0.0,21.71,3.17,0.0
20100713:2310,0.0,0.0,20.34,2.62,0.0
20100714:0010,0.0,0.0,19.24,2.34,0.0
20100714:0110,0.0,0.0,18.3,2.28,0.0
20100714:0210,0.0,0.0,17.58,2.21,0.0
20100714:0310,0.0,0.0,17.14,2.07,0.0
20100714:0410,0.0,0.0,17.01,2.14,0.0
20100714:0510,47.06,9.03,17.61,2.07,0.0
20100714:0610,81.46,18.45,18.99,1.86,0.0
20100714:0710,210.49,28.25,20.98,2.14,0.0
20100714:0810,94.6,38.08,22.73,2.28,0.0
20100714:0910,70.0,47.5,22.91,2.14,0.0
20100714:1010,78.52,55.74,22.82,1.79,0.0
20100714:1110,75.68,61.43,22.1,1.66,0.0
20100714:1210,83.25,62.77,22.1,2.14,0.0
20100714:1310,73.79,59.14,21.4,2.14,0.0
20100714:1410,87.98,52.01,21.44,4.69,0.0
20100714:1510,831.82,43.09,19.66,5.1,0.0
20100714:1610,478.76,33.4,19.55,3.79,0.0
20100714:1710,358.46,23.53,20.7,5.38,0.0
20100714:1810,241.37,13.87,21.01,5.86,0.0
20100714:1910,44.38,4.76,19.52,5.86,0.0
20100714:2010,0.0,0.0,18.94,5.31,0.0
20100714:2110,0.0,0.0,18.51,5.38,0.0
20100714:2210,0.0,0.0,18.07,5.31,0.0
20100714:2310,0.0,0.0,17.73,5.52,0.0
20100715:0010,0.0,0.0,17.01,5.72,0.0
20100715:0110,0.0,0.0,16.36,5.66,0.0
20100715:0210,0.0,0.0,16.03,5.66,0.0
20100715:0310,0.0,0.0,15.52,5.52,0.0
20100715:0410,0.0,0.0,15.2,5.38,0.0
20100715:0510,52.49,8.9,15.25,5.31,0.0
20100715:0610,119.47,18.32,15.78,4.76,0.0
20100715:0710,206.1,28.12,16.58,6.21,0.0
20100715:0810,395.43,37.96,17.84,6.21,0.0
20100715:0910,561.83,47.37,18.98,6.48,0.0
20100715:1010,675.38,55.59,20.12,7.03,0.0
20100715:1110,498.3,61.28,20.74,6.55,0.0
20100715:1210,546.69,62.62,20.64,6.21,0.0
20100715:1310,733.11,59.01,21.11,6.76,0.0
20100715:1410,415.76,51.9,21.84,6.41,0.0
20100715:1510,612.07,42.99,21.9,5.66,0.0
20100715:1610,496.89,33.31,21.87,5.31,0.0
20100715:1710,437.13,23.44,21.9,5.1,0.0
20100715:1810,226.96,13.78,21.48,3.86,0.0
20100715:1910,39.83,4.65,20.57,3.72,0.0
20100715:2010,0.0,0.0,19.34,3.52,0.0
20100715:2110,0.0,0.0,18.48,3.66,0.0
20100715:2210,0.0,0.0,17.95,3.79,0.0
20100715:2310,0.0,0.0,17.54,3.79,0.0
20100716:0010,0.0,0.0,17.11,3.79,0.0
20100716:0110,0.0,0.0,16.77,3.79,0.0
20100716:0210,0.0,0.0,16.39,3.93,0.0
20100716:0310,0.0,0.0,16.21,4.14,0.0
20100716:0410,0.0,0.0,16.18,4.21,0.0
20100716:0510,48.87,8.76,16.28,4.34,0.0
20100716:0610,87.79,18.19,17.3,4.07,0.0
20100716:0710,196.18,27.99,18.96,4.83,0.0
20100716:0810,391.43,37.83,20.3,5.31,0.0
20100716:0910,365.52,47.23,21.48,6.55,0.0
20100716:1010,627.34,55.44,22.09,6.48,0.0
20100716:1110,181.63,61.12,22.69,5.72,0.0
20100716:1210,646.59,62.46,23.48,6.41,0.0
20100716:1310,544.67,58.88,23.8,6.55,0.0
20100716:1410,318.45,51.79,24.54,6.69,0.0
20100716:1510,299.45,42.89,24.76,6.0,0.0
20100716:1610,74.73,33.21,24.17,5.79,0.0
20100716:1710,177.31,23.34,23.74,4.76,0.0
20100716:1810,115.35,13.68,23.04,3.72,0.0
20100716:1910,40.32,4.54,20.49,3.24,0.0
20100716:2010,0.0,0.0,19.1,2.55,0.0
20100716:2110,0.0,0.0,17.9,2.69,0.0
20100716:2210,0.0,0.0,17.16,2.76,0.0
20100716:2310,0.0,0.0,16.54,2.83,0.0
20100717:0010,0.0,0.0,16.09,2.83,0.0
20100717:0110,0.0,0.0,15.76,2.76,0.0
20100717:0210,0.0,0.0,15.55,2.83,0.0
20100717:0310,0.0,0.0,15.37,2.97,0.0
20100717:0410,0.0,0.0,15.07,3.03,0.0
20100717:0510,47.06,8.62,15.09,2.97,0.0
20100717:0610,84.17,18.05,15.65,2.76,0.0
20100717:0710,198.05,27.86,16.5,4.0,0.0
20100717:0810,237.61,37.69,17.35,4.0,0.0
20100717:0910,400.26,47.09,18.2,3.86,0.0
20100717:1010,529.99,55.29,19.15,3.86,0.0
20100717:1110,688.14,60.95,20.25,3.79,0.0
20100717:1210,764.59,62.3,21.19,4.0,0.0
20100717:1310,745.37,58.73,21.64,4.14,0.0
20100717:1410,424.47,51.67,21.6,4.41,0.0
20100717:1510,549.22,42.78,20.89,4.34,0.0
20100717:1610,329.82,33.11,20.79,4.07,0.0
20100717:1710,395.67,23.24,20.67,3.66,0.0
20100717:1810,221.32,13.57,20.4,3.17,0.0
20100717:1910,37.62,4.43,19.26,2.34,0.0
20100717:2010,0.0,0.0,17.86,2.14,0.0
20100717:2110,0.0,0.0,16.6,2.28,0.0
20100717:2210,0.0,0.0,15.55,2.21,0.0
